Depth,Well,GR,RT,RHOB,NPHI,Facies
3297.5,14,30.3532,0.298,2.1285,0.2772,SS
3298,14,31.6969,0.311,2.1241,0.256,SS
3298.5,14,31.8726,0.291,2.1266,0.2788,SS
3299,14,28.3957,0.331,2.1407,0.2576,SS
3299.5,14,31.0182,0.275,2.1505,0.2604,SS
3300,14,29.8538,0.266,2.1383,0.3123,SS
3300.5,14,31.2448,0.291,2.1228,0.2679,SS
3301,14,30.1604,0.29,2.1279,0.2677,SS
3301.5,14,33.7686,0.301,2.1411,0.2607,SS
3302,14,30.5824,0.293,2.1485,0.2518,SS
3302.5,14,32.4098,0.289,2.1451,0.2431,SS
3303,14,31.019,0.285,2.1406,0.2487,SS
3303.5,14,31.6501,0.295,2.1357,0.2654,SS
3304,14,32.0369,0.279,2.1339,0.2803,SS
3304.5,14,30.18,0.285,2.1403,0.2648,SS
3305,14,32.7672,0.285,2.1292,0.2499,SS
3305.5,14,33.0053,0.276,2.1396,0.2606,SS
3306,14,32.4776,0.306,2.1419,0.2526,SS
3306.5,14,30.8786,0.29,2.1457,0.258,SS
3307,14,33.0645,0.302,2.1495,0.2611,SS
3307.5,14,31.281,0.296,2.1546,0.2535,SS
3308,14,31.3719,0.295,2.154,0.2638,SS
3308.5,14,28.4212,0.296,2.1488,0.2773,SS
3309,14,31.073,0.31,2.1437,0.2676,SS
3309.5,14,31.3249,0.325,2.1475,0.2513,SS
3310,14,29.515,0.307,2.1535,0.2486,SS
3310.5,14,32.1847,0.284,2.1619,0.2436,SS
3311,14,30.721,0.324,2.1615,0.2587,SS
3311.5,14,29.7405,0.281,2.1637,0.2608,SS
3312,14,34.262,0.323,2.166,0.2764,SS
3312.5,14,35.3392,0.324,2.1633,0.258,SS
3313,14,33.4946,0.344,2.1479,0.2576,SS
3313.5,14,34.801,0.334,2.1572,0.243,SS
3314,14,37.4302,0.351,2.1523,0.2603,SS
3314.5,14,35.334,0.3579,2.1509,0.2454,SS
3315,14,34.2245,0.368,2.1621,0.2491,SS
3315.5,14,34.2054,0.346,2.1645,0.2456,SS
3316,14,32.6402,0.339,2.1583,0.2611,SS
3316.5,14,34.2808,0.344,2.1662,0.2636,SS
3317,14,34.5887,0.336,2.1642,0.2417,SS
3317.5,14,34.3994,0.341,2.1594,0.2479,SS
3318,14,34.8082,0.334,2.159,0.2491,SS
3318.5,14,32.3484,0.344,2.1599,0.2612,SS
3319,14,32.2034,0.336,2.1666,0.2374,SS
3319.5,14,33.0334,0.324,2.1622,0.2456,SS
3320,14,35.2752,0.322,2.1677,0.2451,SS
3320.5,14,32.237,0.318,2.155,0.2318,SS
3321,14,32.2982,0.3091,2.1598,0.2503,SS
3321.5,14,31.3228,0.299,2.16,0.2553,SS
3322,14,30.1225,0.29,2.1518,0.2591,SS
3322.5,14,29.7927,0.3,2.1493,0.255,SS
3323,14,30.0511,0.284,2.1521,0.2612,SS
3323.5,14,29.3268,0.3249,2.152,0.2505,SS
3324,14,30.86,0.327,2.1581,0.2644,SS
3324.5,14,32.2531,0.328,2.1559,0.2418,SS
3325,14,37.564,0.323,2.1662,0.2604,SS
3325.5,14,36.8364,0.331,2.1633,0.2531,SS
3326,14,35.0903,0.337,2.1759,0.2489,SS
3326.5,14,37.4518,0.3311,2.1791,0.2454,SS
3327,14,35.8417,0.2782,2.1797,0.2334,SS
3327.5,14,38.868,0.306,2.1776,0.2399,SS
3328,14,38.0992,0.303,2.1755,0.2481,SS
3328.5,14,36.5595,0.3841,2.1621,0.2344,SS
3329,14,36.8639,0.356,2.163,0.2326,SS
3329.5,14,36.1237,0.35,2.1745,0.2492,SS
3330,14,35.204,0.364,2.1591,0.2588,SS
3330.5,14,36.1911,0.324,2.1991,0.2331,SS
3331,14,36.4368,0.317,2.2273,0.2205,SS
3331.5,14,37.1482,0.33,2.2833,0.2395,SS
3332,14,32.3187,0.357,2.1925,0.2636,SS
3332.5,14,38.3238,0.408,2.3385,0.6033,UN
3333,14,35.6647,0.396,2.2928,0.4469,UN
3333.5,14,41.3727,0.392,2.2769,0.4738,SH
3334,14,51.9815,0.7601,2.2305,0.2462,SS
3334.5,14,34.5864,1.0566,2.2433,0.1177,SS
3335,14,44.6682,1.2697,2.3581,0.1258,CB
3335.5,14,47.6617,1.6186,2.425,0.2834,SH
3336,14,40.1386,0.9067,2.3343,0.2217,UN
3336.5,14,37.2215,4.9722,2.273,0.1966,SS
3337,14,39.8514,1.4257,2.2828,0.3126,SS
3337.5,14,39.1573,1.0816,2.4233,0.2717,UN
3338,14,40.1238,3.9252,2.3512,0.1276,CB
3338.5,14,44.8877,1.516,2.3349,0.2317,CB
3339,14,34.6681,1.1101,2.1835,0.256,SS
3339.5,14,30.5619,1.4083,2.2703,0.256,SS
3340,14,30.4699,0.6371,2.2331,0.2055,SS
3340.5,14,37.5883,1.8497,2.2524,0.2477,SS
3341,14,49.1329,0.4063,2.3783,0.2916,CB
3341.5,14,42.565,0.4357,2.4227,0.3058,UN
3342,14,35.4588,0.3609,2.2119,0.2681,SS
3342.5,14,35.8836,0.534,2.2261,0.2402,SS
3343,14,35.1216,0.3581,2.2133,0.2388,SS
3343.5,14,36.0467,0.3411,2.1892,0.2657,SS
3344,14,33.4212,0.361,2.1366,0.2577,SS
3344.5,14,32.4443,0.383,2.1867,0.2367,SS
3345,14,30.9769,0.427,2.1965,0.2435,SS
3345.5,14,34.327,0.4081,2.1904,0.2545,SS
3346,14,30.7502,0.4188,2.152,0.2649,SS
3346.5,14,29.4794,0.2731,2.1457,0.2509,SS
3347,14,29.2165,0.303,2.1395,0.283,SS
3347.5,14,27.5292,0.3679,2.1517,0.2626,SS
3348,14,25.8519,0.329,2.1744,0.2515,SS
3348.5,14,27.2025,0.2831,2.1779,0.24,SS
3349,14,28.0391,0.297,2.1743,0.2402,SS
3349.5,14,30.5713,0.275,2.1762,0.2438,SS
3350,14,29.4533,0.3319,2.1855,0.2314,SS
3350.5,14,29.5058,0.303,2.1889,0.232,SS
3351,14,32.3492,0.3539,2.1991,0.2339,SS
3351.5,14,32.479,0.373,2.1955,0.2505,SS
3352,14,29.7384,0.378,2.2033,0.2373,SS
3352.5,14,30.8324,0.393,2.2377,0.2273,SS
3353,14,28.5795,0.371,2.2754,0.2229,SS
3353.5,14,35.55,0.3401,2.3827,0.2443,CB
3354,14,58.6808,0.347,2.4043,0.3412,UN
3354.5,14,56.283,0.358,2.4159,0.4251,SH
3355,14,49.4914,0.366,2.3182,0.4276,SH
3355.5,14,47.3751,0.6797,2.2653,0.3738,SH
3356,14,50.1948,0.5139,2.3067,0.4275,SH
3356.5,14,51.0441,1.1165,2.2591,0.3778,SH
3357,14,47.9043,6.5367,2.2636,0.2778,SH
3357.5,14,41.3096,3.4602,2.3343,0.2993,SH
3358,14,33.2572,1.366,2.2531,0.1178,SS
3358.5,14,28.8295,1.537,2.1696,0.2245,SS
3359,14,30.1514,1.6138,2.0984,0.273,SS
3359.5,14,29.6241,2.3407,2.0966,0.2683,SS
3360,14,33.0725,5.2899,2.086,0.2974,SS
3360.5,14,30.7268,0.4394,2.11,0.2735,SS
3361,14,31.1567,0.4239,2.088,0.2648,SS
3361.5,14,29.0395,0.3461,2.086,0.2669,SS
3362,14,30.8576,0.295,2.095,0.2678,SS
3362.5,14,30.4439,0.277,2.09,0.2707,SS
3363,14,31.4006,0.28,2.087,0.2682,SS
3363.5,14,31.9115,0.282,2.102,0.2654,SS
3364,14,28.8024,0.287,2.128,0.2772,SS
3364.5,14,31.5112,0.292,2.158,0.2726,SS
3365,14,32.786,0.289,2.129,0.2835,SS
3365.5,14,28.2989,0.299,2.093,0.2807,SS
3366,14,30.8024,0.293,2.101,0.2663,SS
3366.5,14,33.2325,0.302,2.133,0.259,SS
3367,14,32.2818,0.302,2.1731,0.2349,SS
3367.5,14,32.2936,0.308,2.262,0.1961,SS
3368,14,34.3606,0.3,2.5178,0.1626,CB
3368.5,14,29.5016,0.315,2.4941,0.0976,CB
3369,14,28.151,0.361,2.3501,0.1358,CB
3369.5,14,29.2106,0.4009,2.301,0.1812,CB
3370,14,30.629,0.495,2.3061,0.1798,SS
3370.5,14,30.1439,1.3044,2.292,0.1909,SS
3371,14,35.3102,2.0849,2.367,0.1794,SS
3371.5,14,46.9283,0.7642,2.4921,0.336,SH
3372,14,18.3981,0.818,2.5559,0.1718,SS
3372.5,14,18.9297,0.9159,2.55,0.1387,CB
3373,14,14.3386,1.136,2.4981,0.1537,CB
3373.5,14,11.8345,0.9587,2.4172,0.1601,CB
3374,14,12.7385,2.0261,2.407,0.1748,CB
3374.5,14,14.4438,2.3992,2.454,0.1779,SS
3375,14,12.68,2.2879,2.4829,0.1619,CB
3375.5,14,17.9254,1.8802,2.6006,0.1436,CB
3376,14,10.805,1.633,2.6338,0.0716,CB
