Depth,Well,GR,RT,RHOB,NPHI,Facies,Well
3397,14,17.5844,1.7142,2.5041,0.1753,SS,well_1
3397.5,14,19.6298,1.9466,2.5029,0.1638,SS,well_1
3398,14,11.4497,2.125,2.479,0.1627,CB,well_1
3398.5,14,13.9778,2.2359,2.451,0.1468,CB,well_1
3399,14,12.1507,2.8689,2.455,0.1545,CB,well_1
3399.5,14,10.8161,2.4271,2.4341,0.1215,CB,well_1
3400,14,6.034,2.2182,2.646,0.0671,CB,well_1
3400.5,14,10.4173,2.391,2.3713,0.1239,CB,well_1
3401,14,8.764,2.6738,2.308,0.1884,SS,well_1
3401.5,14,11.8576,6.641,2.3492,0.1747,SS,well_1
3402,14,10.3012,1.4391,2.5697,0.0906,CB,well_1
3402.5,14,7.7223,1.1349,2.5191,0.1201,CB,well_1
3403,14,8.1118,1.8113,2.465,0.1324,CB,well_1
3403.5,14,6.1342,2.5831,2.5529,0.112,CB,well_1
3404,14,5.0524,2.5197,2.5949,0.0761,CB,well_1
3404.5,14,7.3552,2.5042,2.644,0.0424,CB,well_1
3405,14,15.5632,2.4641,2.627,0.0557,CB,well_1
3405.5,14,8.0694,5.3663,2.635,0.0745,CB,well_1
3406,14,5.7779,4.9832,2.657,0.0463,CB,well_1
3406.5,14,10.0499,8.0388,2.645,0.045,CB,well_1
3407,14,4.8079,6.7627,2.629,0.0467,CB,well_1
3407.5,14,6.3802,10.0409,2.606,0.0441,CB,well_1
3408,14,6.0313,9.5853,2.574,0.0648,CB,well_1
3408.5,14,5.5171,10.5861,2.6109,0.0722,CB,well_1
3409,14,7.4776,8.1825,2.635,0.0591,CB,well_1
3409.5,14,6.3141,7.489,2.5601,0.0682,CB,well_1
3410,14,5.2014,8.2409,2.5579,0.0801,CB,well_1
3410.5,14,5.4713,7.0897,2.54,0.0753,CB,well_1
3411,14,6.3492,5.3115,2.607,0.0566,CB,well_1
3411.5,14,6.5119,4.2481,2.6211,0.0509,CB,well_1
3412,14,5.7798,5.4394,2.567,0.0671,CB,well_1
3412.5,14,7.9725,6.927,2.6128,0.061,CB,well_1
3413,14,7.6176,7.7135,2.589,0.0584,CB,well_1
3413.5,14,6.4775,5.9376,2.599,0.0663,CB,well_1
3414,14,6.8279,5.4929,2.5611,0.0667,CB,well_1
3414.5,14,5.1157,8.3445,2.488,0.0863,CB,well_1
3415,14,4.2745,6.6989,2.477,0.0919,CB,well_1
3415.5,14,4.4373,11.9627,2.486,0.1084,CB,well_1
3416,14,4.7548,5.5027,2.503,0.0921,CB,well_1
3416.5,14,4.8991,3.0957,2.5979,0.0725,CB,well_1
3417,14,6.9763,3.1911,2.573,0.0715,CB,well_1
3417.5,14,11.8857,4.8528,2.4599,0.1053,CB,well_1
3418,14,9.8339,6.396,2.4889,0.1604,CB,well_1
3418.5,14,11.6427,5.2577,2.569,0.1321,CB,well_1
3419,14,5.2557,3.659,2.542,0.0677,CB,well_1
3419.5,14,5.8608,2.8961,2.532,0.0893,CB,well_1
3420,14,6.2376,9.4226,2.526,0.0874,CB,well_1
3420.5,14,5.2795,9.5832,2.5191,0.0888,CB,well_1
3421,14,5.9236,3.5483,2.5389,0.0945,CB,well_1
3421.5,14,6.817,4.1931,2.51,0.09,CB,well_1
3422,14,5.861,4.0302,2.517,0.0907,CB,well_1
3422.5,14,6.1889,4.1172,2.5761,0.0742,CB,well_1
3423,14,7.6448,4.0826,2.5861,0.0662,CB,well_1
3423.5,14,7.3722,3.806,2.595,0.0577,CB,well_1
3424,14,5.6233,4.5418,2.5531,0.0719,CB,well_1
3424.5,14,6.2522,5.8519,2.57,0.0654,CB,well_1
3425,14,6.474,5.7316,2.54,0.0635,CB,well_1
3425.5,14,4.7583,5.0893,2.528,0.0816,CB,well_1
3426,14,5.539,5.6584,2.602,0.0632,CB,well_1
3426.5,14,5.7955,5.0753,2.639,0.0499,CB,well_1
3427,14,4.1568,4.405,2.6281,0.0414,CB,well_1
3427.5,14,6.7175,8.024,2.596,0.0691,CB,well_1
3428,14,5.1133,11.039,2.498,0.0859,CB,well_1
3428.5,14,5.1995,5.5474,2.522,0.0993,CB,well_1
3429,14,6.2532,4.72,2.53,0.0903,CB,well_1
3429.5,14,5.8776,3.9652,2.589,0.071,CB,well_1
3430,14,7.561,4.5774,2.602,0.0505,CB,well_1
3430.5,14,4.0949,5.7037,2.5909,0.0556,CB,well_1
3431,14,3.655,8.0675,2.565,0.0668,CB,well_1
3431.5,14,5.5988,20.081,2.588,0.054,CB,well_1
3432,14,9.4566,6.7613,2.634,0.0541,CB,well_1
3432.5,14,5.2317,8.4585,2.65,0.0363,CB,well_1
3433,14,4.3834,9.8754,2.644,0.027,CB,well_1
3433.5,14,7.0638,6.8806,2.639,0.0291,CB,well_1
3434,14,3.8735,21.2846,2.654,0.021,CB,well_1
3434.5,14,4.5171,21.1124,2.68,0.0135,CB,well_1
3435,14,5.4354,21.803,2.605,0.0281,CB,well_1
3435.5,14,4.3691,45.9111,2.625,0.0398,CB,well_1
3436,14,6.9435,27.8266,2.587,0.065,CB,well_1
3436.5,14,5.9079,13.6118,2.5051,0.0764,CB,well_1
3437,14,5.7946,19.1853,2.5689,0.083,CB,well_1
3437.5,14,4.1451,12.2932,2.604,0.0413,CB,well_1
3438,14,5.7655,6.1973,2.696,0.0336,CB,well_1
3438.5,14,5.7027,5.9216,2.664,0.0254,CB,well_1
3439,14,6.7078,15.9307,2.615,0.0414,CB,well_1
3439.5,14,9.1497,18.9602,2.5721,0.0727,CB,well_1
3440,14,4.7831,17.9339,2.5479,0.0813,CB,well_1
3440.5,14,4.8327,15.8526,2.544,0.0847,CB,well_1
3441,14,6.2293,7.0919,2.5998,0.0616,CB,well_1
3441.5,14,6.9462,4.4922,2.618,0.0526,CB,well_1
3442,14,6.9303,3.8192,2.6091,0.0441,CB,well_1
3442.5,14,7.5828,6.8911,2.612,0.0501,CB,well_1
3443,14,7.4452,10.32,2.633,0.057,CB,well_1
3443.5,14,6.8394,14.3238,2.613,0.0596,CB,well_1
3444,14,6.6204,13.3128,2.582,0.0726,CB,well_1
3444.5,14,6.1161,7.7686,2.5471,0.0689,CB,well_1
3445,14,6.9359,6.354,2.561,0.083,CB,well_1
3445.5,14,5.6916,4.4978,2.569,0.0791,CB,well_1
3446,14,5.7347,4.7227,2.5501,0.0712,CB,well_1
3446.5,14,6.5036,5.059,2.503,0.0733,CB,well_1
3447,14,4.6231,4.7775,2.525,0.0956,CB,well_1
3447.5,14,5.1453,3.7795,2.637,0.079,CB,well_1
3448,14,6.7128,3.8593,2.649,0.0563,CB,well_1
3448.5,14,7.3059,8.0019,2.647,0.051,CB,well_1
3449,14,11.0026,10.3547,2.6449,0.0484,CB,well_1
3449.5,14,8.633,4.7777,2.6061,0.0343,CB,well_1
3450,14,7.1791,13.8239,2.645,0.0371,CB,well_1
3450.5,14,10.2761,18.3381,2.64,0.0501,CB,well_1
3451,14,6.3196,7.1769,2.626,0.0494,CB,well_1
3451.5,14,8.5387,8.9415,2.6031,0.0641,CB,well_1
3452,14,7.4883,9.8339,2.611,0.069,CB,well_1
3452.5,14,12.8078,6.8026,2.5711,0.082,CB,well_1
3453,14,5.829,4.6484,2.542,0.0719,CB,well_1
3453.5,14,6.4134,5.6469,2.6079,0.0669,CB,well_1
3454,14,4.1629,5.9566,2.613,0.0568,CB,well_1
3454.5,14,6.5407,10.0641,2.612,0.0542,CB,well_1
3455,14,5.3491,9.5703,2.6239,0.0651,CB,well_1
3455.5,14,6.2726,6.9378,2.638,0.0484,CB,well_1
3456,14,5.759,16.4119,2.634,0.0388,CB,well_1
3456.5,14,6.6536,16.9559,2.647,0.0405,CB,well_1
3457,14,5.9015,15.5938,2.6391,0.0362,CB,well_1
3457.5,14,8.1259,16.418,2.621,0.0379,CB,well_1
3458,14,5.8827,14.2493,2.661,0.0359,CB,well_1
3458.5,14,6.1148,16.8538,2.658,0.0399,CB,well_1
3459,14,6.5728,16.6013,2.6599,0.0409,CB,well_1
3459.5,14,5.9718,15.8754,2.636,0.0391,CB,well_1
3460,14,6.8382,17.8117,2.674,0.0397,CB,well_1
3460.5,14,8.014,17.0951,2.653,0.0407,CB,well_1
3461,14,7.1776,16.8315,2.638,0.0477,CB,well_1
3461.5,14,5.9189,16.367,2.637,0.0475,CB,well_1
3462,14,5.444,13.098,2.636,0.0445,CB,well_1
3462.5,14,6.6581,16.5626,2.642,0.0477,CB,well_1
3463,14,5.7599,12.5454,2.606,0.0571,CB,well_1
3463.5,14,7.904,10.0722,2.662,0.0466,CB,well_1
3464,14,7.7399,11.1679,2.643,0.0445,CB,well_1
3464.5,14,6.5899,13.989,2.605,0.0541,CB,well_1
3465,14,7.8419,9.8407,2.6,0.0553,CB,well_1
3465.5,14,7.7956,8.8298,2.602,0.0563,CB,well_1
3466,14,6.3838,9.3894,2.617,0.0581,CB,well_1
3466.5,14,6.3558,10.5497,2.5721,0.0502,CB,well_1
3467,14,5.608,8.2559,2.611,0.0555,CB,well_1
3467.5,14,6.8786,9.0818,2.624,0.0508,CB,well_1
3468,14,7.4049,10.0961,2.6299,0.0538,CB,well_1
3468.5,14,5.9578,8.9081,2.585,0.0641,CB,well_1
3469,14,5.9483,7.013,2.604,0.0642,CB,well_1
3469.5,14,5.8231,5.9172,2.575,0.0645,CB,well_1
3470,14,7.1854,7.0742,2.606,0.0649,CB,well_1
3470.5,14,6.4272,7.5074,2.59,0.0648,CB,well_1
3471,14,8.4567,6.5209,2.594,0.0626,CB,well_1
3471.5,14,11.3218,7.6699,2.6409,0.0568,CB,well_1
3472,14,7.5268,8.8594,2.598,0.055,CB,well_1
3472.5,14,7.1277,7.6388,2.598,0.061,CB,well_1
3473,14,6.4673,8.1362,2.606,0.0616,CB,well_1
3473.5,14,8.2952,8.9678,2.6081,0.0532,CB,well_1
3474,14,9.4626,7.3568,2.601,0.0614,CB,well_1
3474.5,14,6.7289,6.2049,2.5741,0.0672,CB,well_1
3475,14,11.1928,6.5363,2.593,0.0682,CB,well_1
3475.5,14,10.528,4.7497,2.607,0.064,CB,well_1
3476,14,14.5363,4.5678,2.5591,0.0813,CB,well_1
3476.5,14,15.0381,5.5608,2.558,0.0999,CB,well_1
3477,14,13.6151,3.5414,2.5499,0.1105,CB,well_1
3477.5,14,16.5503,3.9534,2.5729,0.1049,CB,well_1
3478,14,14.5929,4.6622,2.593,0.08,CB,well_1
3478.5,14,14.7062,2.6923,2.575,0.099,CB,well_1
3479,14,14.511,3.2803,2.578,0.1076,CB,well_1
3479.5,14,12.134,2.7356,2.523,0.1119,CB,well_1
3480,14,15.5755,2.7052,2.5651,0.1278,CB,well_1
3480.5,14,18.5465,2.6369,2.582,0.1374,CB,well_1
3481,14,11.9897,2.696,2.5141,0.1234,CB,well_1
3481.5,14,11.5124,2.71,2.5589,0.1261,CB,well_1
3482,14,10.904,2.7653,2.538,0.125,CB,well_1
3482.5,14,11.342,2.1443,2.504,0.1359,CB,well_1
3483,14,10.8048,1.866,2.462,0.1623,CB,well_1
3483.5,14,11.405,2.7796,2.476,0.1433,CB,well_1
3484,14,10.72,3.207,2.538,0.1161,CB,well_1
3484.5,14,9.591,2.7399,2.5202,0.0546,CB,well_1
3485,14,11.8651,4.3306,2.5819,0.1067,CB,well_1
3485.5,14,10.4879,2.2942,2.509,0.1115,CB,well_1
3486,14,5.6725,2.8909,2.4501,0.1045,CB,well_1
3486.5,14,6.5999,3.2987,2.527,0.0301,CB,well_1
3487,14,12.1193,3.5573,2.558,0.0906,CB,well_1
3487.5,14,11.9386,3.7179,2.6289,0.1067,CB,well_1
3488,14,11.2603,3.7761,2.569,0.0995,CB,well_1
3488.5,14,9.657,3.1487,2.541,0.1073,CB,well_1
3489,14,11.7917,3.6431,2.5361,0.119,CB,well_1
3489.5,14,9.5041,2.4002,2.5208,0.1518,CB,well_1
3490,14,12.1066,2.3576,2.4719,0.14,CB,well_1
3490.5,14,10.8114,2.5246,2.4191,0.1228,CB,well_1
3491,14,10.9269,2.9571,2.437,0.1154,CB,well_1
3491.5,14,11.231,2.8321,2.3303,0.1161,CB,well_1
3492,14,14.783,2.9899,2.562,0.1111,CB,well_1
3492.5,14,9.9791,2.4057,2.478,0.1424,CB,well_1
3493,14,7.482,2.1101,2.5059,0.1191,CB,well_1
3493.5,14,11.3865,2.0829,2.48,0.1421,CB,well_1
3494,14,14.1496,2.679,2.532,0.1337,CB,well_1
3494.5,14,12.9234,3.1285,2.5579,0.1351,CB,well_1
3495,14,10.9397,3.3824,2.5191,0.1276,CB,well_1
3495.5,14,9.9,2.4101,2.6078,0.1219,CB,well_1
3496,14,10.8918,2.7469,2.556,0.1061,CB,well_1
3496.5,14,10.644,3.3506,2.551,0.1094,CB,well_1
3497,14,10.2489,3.7575,2.5151,0.0946,CB,well_1
3497.5,14,6.3222,3.4274,2.664,0.0501,CB,well_1
3498,14,12.6238,4.6004,2.648,0.0714,CB,well_1
3498.5,14,10.3617,10.0938,2.6809,0.077,CB,well_1
3499,14,8.7151,5.3465,2.6391,0.0651,CB,well_1
3499.5,14,6.62,6.5307,2.66,0.0309,CB,well_1
3500,14,7.2603,4.7612,2.6849,0.0325,CB,well_1
3500.5,14,8.7967,9.3221,2.6539,0.0397,CB,well_1
3501,14,10.5597,12.432,2.666,0.0472,CB,well_1
3501.5,14,9.5708,6.6279,2.638,0.0484,CB,well_1
3502,14,11.8772,7.3388,2.633,0.0616,CB,well_1
3502.5,14,16.1513,9.937,2.627,0.0792,CB,well_1
3503,14,10.5189,4.4279,2.635,0.0609,CB,well_1
3503.5,14,6.2437,5.3155,2.631,0.0478,CB,well_1
3504,14,8.4762,6.6123,2.6509,0.0543,CB,well_1
3504.5,14,9.9825,7.9735,2.6529,0.0685,CB,well_1
3505,14,10.5331,4.9052,2.6121,0.0618,CB,well_1
3505.5,14,12.1125,6.0211,2.5791,0.0695,CB,well_1
3506,14,11.5763,5.5865,2.587,0.0837,CB,well_1
3506.5,14,10.8571,4.2544,2.589,0.0862,CB,well_1
3507,14,10.675,4.226,2.5162,0.0896,CB,well_1
3507.5,14,6.1351,4.0033,2.551,0.0992,CB,well_1
3508,14,8.8963,3.3079,2.581,0.1005,CB,well_1
3508.5,14,12.6907,3.6806,2.5869,0.1266,CB,well_1
3509,14,12.0031,3.4893,2.5091,0.1415,CB,well_1
3509.5,14,8.6452,2.7814,2.5421,0.0993,CB,well_1
3510,14,8.9871,2.9379,2.5681,0.0995,CB,well_1
3510.5,14,9.2416,3.5289,2.6001,0.0688,CB,well_1
3511,14,8.6076,4.0708,2.593,0.0746,CB,well_1
3511.5,14,14.1291,4.7897,2.5859,0.0735,CB,well_1
3512,14,10.1345,3.8539,2.585,0.0653,CB,well_1
3512.5,14,9.4822,4.1192,2.616,0.0768,CB,well_1
3513,14,7.5423,4.6606,2.619,0.079,CB,well_1
3513.5,14,10.7876,4.0852,2.611,0.0755,CB,well_1
3514,14,8.5632,4.5758,2.6059,0.0739,CB,well_1
3514.5,14,11.9044,4.1017,2.5789,0.0902,CB,well_1
3515,14,12.3103,3.963,2.607,0.0941,CB,well_1
3515.5,14,10.102,3.2609,2.584,0.093,CB,well_1
3516,14,10.7783,4.5954,2.5959,0.0915,CB,well_1
3516.5,14,12.0608,3.5825,2.588,0.0882,CB,well_1
3517,14,9.1889,3.6383,2.6109,0.0884,CB,well_1
3517.5,14,9.4081,3.7437,2.546,0.0835,CB,well_1
3518,14,10.9877,4.285,2.578,0.088,CB,well_1
3518.5,14,13.3783,3.689,2.6,0.0856,CB,well_1
3519,14,8.9914,3.7032,2.618,0.0831,CB,well_1
3519.5,14,10.3295,3.9778,2.5981,0.0696,CB,well_1
3520,14,9.6217,4.4261,2.615,0.0703,CB,well_1
3520.5,14,8.5018,5.124,2.5861,0.0768,CB,well_1
3521,14,8.2061,4.6335,2.579,0.0737,CB,well_1
3521.5,14,10.9197,4.9084,2.614,0.0647,CB,well_1
3522,14,9.2121,4.9922,2.6181,0.0671,CB,well_1
3522.5,14,9.2892,5.2724,2.6061,0.0853,CB,well_1
3523,14,9.8584,4.8735,2.5851,0.0839,CB,well_1
3523.5,14,10.4565,4.4017,2.617,0.0819,CB,well_1
3524,14,10.5768,4.1243,2.598,0.0792,CB,well_1
3524.5,14,10.0454,3.8647,2.596,0.0686,CB,well_1
3525,14,9.5415,4.7901,2.588,0.0747,CB,well_1
3525.5,14,10.7016,5.0261,2.595,0.0889,CB,well_1
3526,14,9.4352,3.9791,2.61,0.0861,CB,well_1
3526.5,14,8.2595,3.5339,2.591,0.0835,CB,well_1
3527,14,8.5423,4.1793,2.605,0.074,CB,well_1
3527.5,14,10.2558,4.3934,2.588,0.0771,CB,well_1
3528,14,8.2662,4.4859,2.629,0.0736,CB,well_1
3528.5,14,8.9237,3.9789,2.62,0.0646,CB,well_1
3529,14,9.4323,4.7456,2.616,0.0647,CB,well_1
3529.5,14,9.5687,5.7158,2.615,0.0646,CB,well_1
3530,14,10.7191,5.9277,2.596,0.0643,CB,well_1
3530.5,14,10.7795,5.4114,2.613,0.0738,CB,well_1
3531,14,8.1713,4.1466,2.632,0.0675,CB,well_1
3531.5,14,7.4003,7.3682,2.612,0.0605,CB,well_1
3532,14,7.8208,6.3099,2.606,0.0615,CB,well_1
3532.5,14,7.6286,7.5769,2.612,0.057,CB,well_1
3533,14,7.3977,7.755,2.6349,0.0592,CB,well_1
3533.5,14,7.1761,6.7396,2.63,0.051,CB,well_1
3534,14,5.327,11.1037,2.641,0.0408,CB,well_1
3534.5,14,5.6784,9.4043,2.63,0.049,CB,well_1
3535,14,6.4618,9.0853,2.6071,0.0457,CB,well_1
3535.5,14,8.1745,10.3757,2.603,0.0489,CB,well_1
3536,14,7.5622,6.8861,2.627,0.0541,CB,well_1
3536.5,14,6.4624,10.4547,2.621,0.0539,CB,well_1
3537,14,6.6941,5.966,2.6,0.0682,CB,well_1
3537.5,14,6.3694,7.0354,2.609,0.0674,CB,well_1
3538,14,7.5298,5.0245,2.5961,0.0696,CB,well_1
3538.5,14,9.0525,5.2107,2.6379,0.0704,CB,well_1
3539,14,7.5782,5.0741,2.6069,0.0695,CB,well_1
3539.5,14,6.2575,6.5402,2.621,0.0642,CB,well_1
3540,14,7.856,5.8374,2.5961,0.0674,CB,well_1
3540.5,14,10.4624,4.3819,2.611,0.081,CB,well_1
3541,14,7.8657,5.1771,2.604,0.0615,CB,well_1
3541.5,14,7.7238,7.1135,2.597,0.062,CB,well_1
3542,14,8.9791,4.2358,2.553,0.0861,CB,well_1
3542.5,14,8.6991,2.9977,2.5769,0.1127,CB,well_1
3543,14,8.3079,3.716,2.629,0.0753,CB,well_1
3543.5,14,10.6177,4.8644,2.649,0.0737,CB,well_1
3544,14,7.9344,3.2929,2.59,0.1045,CB,well_1
3544.5,14,7.1161,6.1491,2.58,0.0739,CB,well_1
3545,14,10.6573,3.9538,2.536,0.1023,CB,well_1
3545.5,14,12.7453,2.3921,2.546,0.1271,CB,well_1
3546,14,9.8804,3.0773,2.5291,0.1088,CB,well_1
3546.5,14,9.65,3.0886,2.549,0.1059,CB,well_1
3547,14,10.3573,2.2924,2.5071,0.1158,CB,well_1
3547.5,14,7.9758,2.389,2.491,0.1203,CB,well_1
3548,14,11.4342,2.9903,2.527,0.1107,CB,well_1
3548.5,14,9.8967,2.973,2.5439,0.0976,CB,well_1
3549,14,8.2455,4.1797,2.587,0.0946,CB,well_1
3549.5,14,7.4309,2.9828,2.494,0.1036,CB,well_1
3550,14,8.3147,2.885,2.557,0.1026,CB,well_1
3550.5,14,8.6451,4.3657,2.5739,0.0899,CB,well_1
3551,14,10.2543,3.352,2.5401,0.0986,CB,well_1
3551.5,14,8.051,4.3637,2.5869,0.0955,CB,well_1
3552,14,11.0163,3.1771,2.5371,0.0971,CB,well_1
3552.5,14,7.6221,3.8908,2.498,0.1048,CB,well_1
3553,14,8.5376,2.9066,2.51,0.1064,CB,well_1
3553.5,14,9.2687,1.7879,2.4591,0.1347,CB,well_1
3554,14,7.6833,2.4925,2.451,0.1249,CB,well_1
3554.5,14,7.6227,2.7852,2.4841,0.1106,CB,well_1
3555,14,9.1675,2.5728,2.507,0.1281,CB,well_1
3555.5,14,7.7951,3.7163,2.55,0.0991,CB,well_1
3556,14,8.3278,3.4128,2.542,0.1008,CB,well_1
3556.5,14,6.8141,3.033,2.517,0.1052,CB,well_1
3557,14,6.2148,2.7549,2.4511,0.1112,CB,well_1
3557.5,14,7.1327,2.404,2.4849,0.1107,CB,well_1
3558,14,10.6025,2.384,2.465,0.1216,CB,well_1
3558.5,14,11.1023,2.5977,2.494,0.1369,CB,well_1
3559,14,11.9028,2.1011,2.4681,0.1292,CB,well_1
3559.5,14,17.669,2.0167,2.51,0.1362,CB,well_1
3560,14,15.2774,2.1856,2.495,0.1455,CB,well_1
3560.5,14,13.886,2.1357,2.5049,0.1526,CB,well_1
3561,14,14.7052,2.4544,2.5489,0.1325,CB,well_1
3561.5,14,18.1623,2.1867,2.49,0.1217,CB,well_1
3562,14,12.0942,2.1814,2.467,0.1403,CB,well_1
3562.5,14,10.2409,1.8797,2.4381,0.1429,CB,well_1
3563,14,10.7712,2.1092,2.4969,0.1502,CB,well_1
3563.5,14,10.9291,2.0612,2.458,0.1457,CB,well_1
3564,14,11.2877,2.4261,2.519,0.129,CB,well_1
3564.5,14,13.9991,2.0196,2.5011,0.1397,CB,well_1
3565,14,10.7403,1.9928,2.461,0.159,CB,well_1
3565.5,14,11.1672,1.949,2.495,0.1364,CB,well_1
3566,14,13.3159,2.2469,2.498,0.1455,CB,well_1
3566.5,14,11.9482,2.0039,2.493,0.1349,CB,well_1
3567,14,15.8106,1.8425,2.474,0.146,CB,well_1
3567.5,14,14.7282,1.8649,2.421,0.1408,CB,well_1
3568,14,10.1889,1.348,2.4469,0.1591,CB,well_1
3568.5,14,9.2856,1.5458,2.4079,0.1612,CB,well_1
3569,14,10.11,1.4646,2.441,0.1569,CB,well_1
3569.5,14,10.5571,1.5838,2.415,0.1557,CB,well_1
3570,14,10.6509,1.5843,2.428,0.1613,CB,well_1
3570.5,14,13.7969,1.7847,2.484,0.1656,CB,well_1
3571,14,12.1413,1.8065,2.486,0.1595,CB,well_1
3571.5,14,12.8309,1.7518,2.448,0.1541,CB,well_1
3572,14,10.5399,1.7058,2.426,0.1504,CB,well_1
3572.5,14,11.1371,1.8406,2.4729,0.1449,CB,well_1
3573,14,12.194,2.1236,2.486,0.1427,CB,well_1
3573.5,14,11.2809,2.2205,2.5519,0.1325,CB,well_1
3574,14,10.8581,2.1292,2.487,0.1377,CB,well_1
3574.5,14,13.3936,1.7028,2.495,0.1395,CB,well_1
3575,14,13.231,1.9788,2.523,0.1266,CB,well_1
3575.5,14,13.0132,1.7896,2.4831,0.1362,CB,well_1
3576,14,11.4238,1.8148,2.4679,0.145,CB,well_1
3576.5,14,13.5653,1.809,2.5,0.1471,CB,well_1
3577,14,10.1746,1.803,2.4501,0.1506,CB,well_1
3577.5,14,12.8441,1.7209,2.4351,0.1484,CB,well_1
3578,14,12.6925,1.8493,2.472,0.1432,CB,well_1
3578.5,14,16.6299,1.7748,2.478,0.1393,CB,well_1
3579,14,13.7992,2.0965,2.4821,0.1439,CB,well_1
3579.5,14,16.7427,1.6074,2.488,0.135,CB,well_1
3580,14,12.9143,1.8609,2.4481,0.1491,CB,well_1
3580.5,14,12.3714,1.8239,2.5089,0.1463,CB,well_1
3581,14,14.4422,2.1409,2.49,0.1438,CB,well_1
3581.5,14,12.0183,2.0125,2.516,0.1411,CB,well_1
3582,14,11.3011,1.7058,2.456,0.1441,CB,well_1
3582.5,14,9.8089,1.9018,2.4451,0.139,CB,well_1
3583,14,15.0001,1.6986,2.5009,0.1341,CB,well_1
3583.5,14,13.5857,1.8258,2.4531,0.1526,CB,well_1
3584,14,12.3022,1.7269,2.45,0.1467,CB,well_1
3584.5,14,11.9118,1.9181,2.476,0.1506,CB,well_1
3585,14,16.9291,2.0431,2.5089,0.1363,CB,well_1
3585.5,14,19.7477,2.042,2.5359,0.1365,CB,well_1
3586,14,19.8316,1.6317,2.533,0.141,SS,well_1
3586.5,14,29.1052,1.7556,2.507,0.1734,UN,well_1
3587,14,19.6598,1.8057,2.522,0.1453,SS,well_1
3587.5,14,13.9228,2.1203,2.4779,0.1258,CB,well_1
3588,14,16.187,2.1577,2.5289,0.1363,CB,well_1
3588.5,14,20.7199,2.1133,2.49,0.1454,CB,well_1
3589,14,18.667,2.2108,2.4871,0.1351,CB,well_1
3589.5,14,17.433,2.252,2.495,0.1432,CB,well_1
3590,14,12.716,2.2653,2.494,0.1304,CB,well_1
3590.5,14,14.815,1.9295,2.491,0.1231,CB,well_1
3591,14,14.3949,2.149,2.481,0.1427,CB,well_1
3591.5,14,29.787,2.3099,2.473,0.14,CB,well_1
3592,14,13.1803,2.1904,2.4451,0.1397,CB,well_1
3592.5,14,14.8635,2.1778,2.515,0.129,CB,well_1
3593,14,12.0561,2.3472,2.492,0.1391,CB,well_1
3593.5,14,13.4135,2.2161,2.494,0.1337,CB,well_1
3594,14,12.8754,2.357,2.479,0.1295,CB,well_1
3594.5,14,14.2635,2.4686,2.526,0.1175,CB,well_1
3595,14,16.231,2.6237,2.497,0.1203,CB,well_1
3595.5,14,11.684,2.3557,2.463,0.1321,CB,well_1
3596,14,11.752,2.1536,2.518,0.125,CB,well_1
3596.5,14,17.6174,2.1207,2.5421,0.1233,CB,well_1
3597,14,18.9734,2.7728,2.497,0.131,CB,well_1
3597.5,14,12.8418,2.2759,2.4651,0.1318,CB,well_1
3598,14,11.8842,2.7383,2.522,0.1336,CB,well_1
3598.5,14,14.259,2.6962,2.488,0.113,CB,well_1
3599,14,14.2761,1.9882,2.5301,0.1216,CB,well_1
3599.5,14,12.1145,2.3633,2.511,0.1119,CB,well_1
3600,14,17.0484,2.639,2.536,0.129,CB,well_1
3600.5,14,11.4864,2.7739,2.509,0.1162,CB,well_1
3601,14,13.7041,2.6635,2.5139,0.122,CB,well_1
3601.5,14,11.7399,1.9339,2.478,0.1367,CB,well_1
3602,14,12.6928,2.562,2.4781,0.1421,CB,well_1
3602.5,14,11.0973,2.3736,2.5048,0.1334,CB,well_1
3603,14,9.4528,1.9813,2.496,0.132,CB,well_1
3603.5,14,13.5748,1.6889,2.5099,0.1297,CB,well_1
3604,14,10.925,1.8673,2.5041,0.1265,CB,well_1
3604.5,14,14.0685,2.2165,2.5249,0.1291,CB,well_1
3605,14,13.1949,2.1871,2.515,0.1333,CB,well_1
3605.5,14,20.0594,2.1461,2.5339,0.1305,CB,well_1
3606,14,13.2187,1.7632,2.5021,0.1323,CB,well_1
3606.5,14,12.656,2.1613,2.496,0.1354,CB,well_1
3607,14,13.9157,1.809,2.4811,0.1368,CB,well_1
3607.5,14,14.8102,2.202,2.485,0.1341,CB,well_1
3608,14,17.7181,2.4783,2.4981,0.1308,CB,well_1
3608.5,14,13.071,2.2171,2.486,0.1383,CB,well_1
3609,14,10.5823,1.9929,2.4391,0.1571,CB,well_1
3609.5,14,10.4449,2.1149,2.5169,0.1354,CB,well_1
3610,14,9.3972,2.2174,2.4321,0.1397,CB,well_1
3610.5,14,13.283,1.8493,2.4829,0.133,CB,well_1
3611,14,11.9492,1.9963,2.4811,0.1216,CB,well_1
3611.5,14,19.411,2.3607,2.541,0.1216,CB,well_1
3612,14,14.6722,1.5892,2.505,0.1285,CB,well_1
3612.5,14,14.0325,2.5375,2.5329,0.1248,CB,well_1
3613,14,10.7897,2.2582,2.4401,0.1363,CB,well_1
3613.5,14,10.7156,2.3292,2.536,0.1036,CB,well_1
3614,14,13.1121,2.1573,2.5071,0.1144,CB,well_1
3614.5,14,17.2693,2.6241,2.564,0.1137,CB,well_1
