Depth,Well,GR,RT,RHOB,NPHI,Facies,,
3254.5,1,29.9506,0.408,2.1524,0.233,SS,,
3255,1,31.2746,0.392,2.1469,0.2473,SS,,
3255.5,1,32.1418,0.383,2.1424,0.241,SS,,
3256,1,30.9157,0.355,2.1471,0.2491,SS,,
3256.5,1,37.89,0.36,2.1498,0.2967,SS,,
3257,1,45.9108,0.382,2.1645,0.2919,SS,,
3257.5,1,43.4305,0.5795,2.0774,0.2822,SS,,
3258,1,48.0619,0.344,2.1679,0.3262,UN,,
3258.5,1,53.8453,0.4328,2.248,0.3412,SH,,
3259,1,69.4433,0.5618,2.2572,0.403,SH,,
3259.5,1,70.7622,0.606,2.3253,0.4693,SH,,
3260,1,63.7161,0.591,2.2486,0.385,UN,,
3260.5,1,45.1481,0.6059,2.1192,0.336,SS,,
3261,1,36.5466,0.4389,2.1283,0.3038,SS,,
3261.5,1,30.1574,0.3754,2.1438,0.2702,SS,,
3262,1,33.0727,0.3669,2.1917,0.2787,SS,,
3262.5,1,31.4893,0.379,2.1903,0.2262,SS,,
3263,1,32.6558,0.389,2.2241,0.2461,SS,,
3263.5,1,35.2396,0.388,2.2699,0.238,SS,,
3264,1,58.9679,0.423,2.4435,0.3526,SH,,
3264.5,1,49.2145,0.6665,2.3305,0.538,SH,,
3265,1,46.0201,0.6649,2.1744,0.2401,SS,,
3265.5,1,32.2093,0.4561,2.2085,0.2242,SS,,
3266,1,28.6807,0.4599,2.2054,0.2028,SS,,
3266.5,1,28.6507,0.3672,2.1778,0.223,SS,,
3267,1,30.4789,0.342,2.16,0.2241,SS,,
3267.5,1,28.9195,0.4092,2.1575,0.22,SS,,
3268,1,28.0888,0.3559,2.1605,0.2287,SS,,
3268.5,1,27.3787,0.378,2.1736,0.2279,SS,,
3269,1,29.3742,0.4638,2.1906,0.2121,SS,,
3269.5,1,30.9778,0.531,2.2014,0.2177,SS,,
3270,1,33.346,0.5509,2.2077,0.206,SS,,
3270.5,1,26.2862,0.5851,2.207,0.208,SS,,
3271,1,29.2662,0.5989,2.2062,0.197,SS,,
3271.5,1,30.9267,0.6839,2.1909,0.2183,SS,,
3272,1,27.8777,0.7838,2.2046,0.1955,SS,,
3272.5,1,30.6473,0.9213,2.2088,0.2051,SS,,
3273,1,29.3149,0.84,2.1963,0.2069,SS,,
3273.5,1,30.9579,0.6361,2.2028,0.2016,SS,,
3274,1,32.0378,0.6,2.2085,0.2005,SS,,
3274.5,1,31.6989,0.48,2.2378,0.2024,SS,,
3275,1,32.0296,0.6219,2.2194,0.2082,SS,,
3275.5,1,27.8269,0.622,2.2331,0.1994,SS,,
3276,1,25.8984,0.623,2.2246,0.2025,SS,,
3276.5,1,25.4846,0.5332,2.2313,0.2085,SS,,
3277,1,31.3181,3.7324,2.2975,0.109,SS,,
3277.5,1,27.384,2.4703,2.3619,0.0939,CB,,
3278,1,28.7282,0.4598,2.3034,0.1728,CB,,
3278.5,1,30.603,0.464,2.2598,0.2006,SS,,
3279,1,31.2805,0.504,2.28,0.2096,SS,,
3279.5,1,45.6957,0.592,2.2962,0.2137,SS,,
3280,1,58.595,0.625,2.2869,0.3014,UN,,
3280.5,1,69.5744,0.5821,2.2632,0.35,SH,,
3281,1,51.3597,0.621,2.1899,0.3108,UN,,
3281.5,1,55.0748,0.675,2.2713,0.3197,SH,,
3282,1,64.529,0.5781,2.2233,0.3247,UN,,
3282.5,1,66.3812,0.607,2.2657,0.3743,SH,,
3283,1,64.6704,0.627,2.2478,0.3913,SH,,
3283.5,1,73.4149,0.663,2.2818,0.3848,SH,,
3284,1,64.5187,0.657,2.3301,0.4247,SH,,
3284.5,1,65.7854,0.6921,2.36,0.3922,SH,,
3285,1,58.4588,0.534,2.2227,0.3471,UN,,
3285.5,1,51.856,0.569,2.1959,0.2896,SS,,
3286,1,54.7937,0.637,2.3269,0.3367,SH,,
3286.5,1,58.0499,0.5351,2.2335,0.3818,SH,,
3287,1,57.7755,0.391,2.2514,0.4109,SH,,
3287.5,1,41.4275,0.4799,2.1091,0.289,SS,,
3288,1,47.13,0.3358,2.092,0.3081,SS,,
3288.5,1,34.9266,0.343,2.0954,0.3195,SS,,
3289,1,33.1717,0.324,2.0863,0.299,SS,,
3289.5,1,33.4286,0.325,2.1185,0.2773,SS,,
3290,1,33.5685,0.335,2.1317,0.2695,SS,,
3290.5,1,31.7425,0.291,2.1261,0.2843,SS,,
3291,1,30.0583,0.31,2.1217,0.274,SS,,
3291.5,1,29.5375,0.297,2.1283,0.2849,SS,,
3292,1,28.5325,0.294,2.1245,0.275,SS,,
3292.5,1,29.3954,0.308,2.1206,0.2904,SS,,
3293,1,30.8389,0.3061,2.1198,0.2633,SS,,
3293.5,1,29.1073,0.294,2.1173,0.2588,SS,,
3294,1,30.4716,0.336,2.1186,0.2734,SS,,
3294.5,1,31.7269,0.3041,2.1476,0.2555,SS,,
3295,1,30.3887,0.327,2.1438,0.2479,SS,,
3295.5,1,31.3698,0.302,2.1351,0.2457,SS,,
3296,1,30.5915,0.322,2.1267,0.2677,SS,,
3296.5,1,30.5464,0.32,2.1286,0.2483,SS,,
3297,1,31.7341,0.302,2.1284,0.2524,SS,,
3297.5,1,30.3532,0.298,2.1285,0.2772,SS,,
3298,1,31.6969,0.311,2.1241,0.256,SS,,
3298.5,1,31.8726,0.291,2.1266,0.2788,SS,,
3299,1,28.3957,0.331,2.1407,0.2576,SS,,
3299.5,1,31.0182,0.275,2.1505,0.2604,SS,,
3300,1,29.8538,0.266,2.1383,0.3123,SS,,
3300.5,1,31.2448,0.291,2.1228,0.2679,SS,,
3301,1,30.1604,0.29,2.1279,0.2677,SS,,
3301.5,1,33.7686,0.301,2.1411,0.2607,SS,,
3302,1,30.5824,0.293,2.1485,0.2518,SS,,
3302.5,1,32.4098,0.289,2.1451,0.2431,SS,,
3303,1,31.019,0.285,2.1406,0.2487,SS,,
3303.5,1,31.6501,0.295,2.1357,0.2654,SS,,
3304,1,32.0369,0.279,2.1339,0.2803,SS,,
3304.5,1,30.18,0.285,2.1403,0.2648,SS,,
3305,1,32.7672,0.285,2.1292,0.2499,SS,,
3305.5,1,33.0053,0.276,2.1396,0.2606,SS,,
3306,1,32.4776,0.306,2.1419,0.2526,SS,,
3306.5,1,30.8786,0.29,2.1457,0.258,SS,,
3307,1,33.0645,0.302,2.1495,0.2611,SS,,
3307.5,1,31.281,0.296,2.1546,0.2535,SS,,
3308,1,31.3719,0.295,2.154,0.2638,SS,,
3308.5,1,28.4212,0.296,2.1488,0.2773,SS,,
3309,1,31.073,0.31,2.1437,0.2676,SS,,
3309.5,1,31.3249,0.325,2.1475,0.2513,SS,,
3310,1,29.515,0.307,2.1535,0.2486,SS,,
3310.5,1,32.1847,0.284,2.1619,0.2436,SS,,
3311,1,30.721,0.324,2.1615,0.2587,SS,,
3311.5,1,29.7405,0.281,2.1637,0.2608,SS,,
3312,1,34.262,0.323,2.166,0.2764,SS,,
3312.5,1,35.3392,0.324,2.1633,0.258,SS,,
3313,1,33.4946,0.344,2.1479,0.2576,SS,,
3313.5,1,34.801,0.334,2.1572,0.243,SS,,
3314,1,37.4302,0.351,2.1523,0.2603,SS,,
3314.5,1,35.334,0.3579,2.1509,0.2454,SS,,
3315,1,34.2245,0.368,2.1621,0.2491,SS,,
3315.5,1,34.2054,0.346,2.1645,0.2456,SS,,
3316,1,32.6402,0.339,2.1583,0.2611,SS,,
3316.5,1,34.2808,0.344,2.1662,0.2636,SS,,
3317,1,34.5887,0.336,2.1642,0.2417,SS,,
3317.5,1,34.3994,0.341,2.1594,0.2479,SS,,
3318,1,34.8082,0.334,2.159,0.2491,SS,,
3318.5,1,32.3484,0.344,2.1599,0.2612,SS,,
3319,1,32.2034,0.336,2.1666,0.2374,SS,,
3319.5,1,33.0334,0.324,2.1622,0.2456,SS,,
3320,1,35.2752,0.322,2.1677,0.2451,SS,,
3320.5,1,32.237,0.318,2.155,0.2318,SS,,
3321,1,32.2982,0.3091,2.1598,0.2503,SS,,
3321.5,1,31.3228,0.299,2.16,0.2553,SS,,
3322,1,30.1225,0.29,2.1518,0.2591,SS,,
3322.5,1,29.7927,0.3,2.1493,0.255,SS,,
3323,1,30.0511,0.284,2.1521,0.2612,SS,,
3323.5,1,29.3268,0.3249,2.152,0.2505,SS,,
3324,1,30.86,0.327,2.1581,0.2644,SS,,
3324.5,1,32.2531,0.328,2.1559,0.2418,SS,,
3325,1,37.564,0.323,2.1662,0.2604,SS,,
3325.5,1,36.8364,0.331,2.1633,0.2531,SS,,
3326,1,35.0903,0.337,2.1759,0.2489,SS,,
3326.5,1,37.4518,0.3311,2.1791,0.2454,SS,,
3327,1,35.8417,0.2782,2.1797,0.2334,SS,,
3327.5,1,38.868,0.306,2.1776,0.2399,SS,,
3328,1,38.0992,0.303,2.1755,0.2481,SS,,
3328.5,1,36.5595,0.3841,2.1621,0.2344,SS,,
3329,1,36.8639,0.356,2.163,0.2326,SS,,
3329.5,1,36.1237,0.35,2.1745,0.2492,SS,,
3330,1,35.204,0.364,2.1591,0.2588,SS,,
3330.5,1,36.1911,0.324,2.1991,0.2331,SS,,
3331,1,36.4368,0.317,2.2273,0.2205,SS,,
3331.5,1,37.1482,0.33,2.2833,0.2395,SS,,
3332,1,32.3187,0.357,2.1925,0.2636,SS,,
3332.5,1,38.3238,0.408,2.3385,0.6033,UN,,
3333,1,35.6647,0.396,2.2928,0.4469,UN,,
3333.5,1,41.3727,0.392,2.2769,0.4738,SH,,
3334,1,51.9815,0.7601,2.2305,0.2462,SS,,
3334.5,1,34.5864,1.0566,2.2433,0.1177,SS,,
3335,1,44.6682,1.2697,2.3581,0.1258,CB,,
3335.5,1,47.6617,1.6186,2.425,0.2834,SH,,
3336,1,40.1386,0.9067,2.3343,0.2217,UN,,
3336.5,1,37.2215,4.9722,2.273,0.1966,SS,,
3337,1,39.8514,1.4257,2.2828,0.3126,SS,,
3337.5,1,39.1573,1.0816,2.4233,0.2717,UN,,
3338,1,40.1238,3.9252,2.3512,0.1276,CB,,
3338.5,1,44.8877,1.516,2.3349,0.2317,CB,,
3339,1,34.6681,1.1101,2.1835,0.256,SS,,
3339.5,1,30.5619,1.4083,2.2703,0.256,SS,,
3340,1,30.4699,0.6371,2.2331,0.2055,SS,,
3340.5,1,37.5883,1.8497,2.2524,0.2477,SS,,
3341,1,49.1329,0.4063,2.3783,0.2916,CB,,
3341.5,1,42.565,0.4357,2.4227,0.3058,UN,,
3342,1,35.4588,0.3609,2.2119,0.2681,SS,,
3342.5,1,35.8836,0.534,2.2261,0.2402,SS,,
3343,1,35.1216,0.3581,2.2133,0.2388,SS,,
3343.5,1,36.0467,0.3411,2.1892,0.2657,SS,,
3344,1,33.4212,0.361,2.1366,0.2577,SS,,
3344.5,1,32.4443,0.383,2.1867,0.2367,SS,,
3345,1,30.9769,0.427,2.1965,0.2435,SS,,
3345.5,1,34.327,0.4081,2.1904,0.2545,SS,,
3346,1,30.7502,0.4188,2.152,0.2649,SS,,
3346.5,1,29.4794,0.2731,2.1457,0.2509,SS,,
3347,1,29.2165,0.303,2.1395,0.283,SS,,
3347.5,1,27.5292,0.3679,2.1517,0.2626,SS,,
3348,1,25.8519,0.329,2.1744,0.2515,SS,,
3348.5,1,27.2025,0.2831,2.1779,0.24,SS,,
3349,1,28.0391,0.297,2.1743,0.2402,SS,,
3349.5,1,30.5713,0.275,2.1762,0.2438,SS,,
3350,1,29.4533,0.3319,2.1855,0.2314,SS,,
3350.5,1,29.5058,0.303,2.1889,0.232,SS,,
3351,1,32.3492,0.3539,2.1991,0.2339,SS,,
3351.5,1,32.479,0.373,2.1955,0.2505,SS,,
3352,1,29.7384,0.378,2.2033,0.2373,SS,,
3352.5,1,30.8324,0.393,2.2377,0.2273,SS,,
3353,1,28.5795,0.371,2.2754,0.2229,SS,,
3353.5,1,35.55,0.3401,2.3827,0.2443,CB,,
3354,1,58.6808,0.347,2.4043,0.3412,UN,,
3354.5,1,56.283,0.358,2.4159,0.4251,SH,,
3355,1,49.4914,0.366,2.3182,0.4276,SH,,
3355.5,1,47.3751,0.6797,2.2653,0.3738,SH,,
3356,1,50.1948,0.5139,2.3067,0.4275,SH,,
3356.5,1,51.0441,1.1165,2.2591,0.3778,SH,,
3357,1,47.9043,6.5367,2.2636,0.2778,SH,,
3357.5,1,41.3096,3.4602,2.3343,0.2993,SH,,
3358,1,33.2572,1.366,2.2531,0.1178,SS,,
3358.5,1,28.8295,1.537,2.1696,0.2245,SS,,
3359,1,30.1514,1.6138,2.0984,0.273,SS,,
3359.5,1,29.6241,2.3407,2.0966,0.2683,SS,,
3360,1,33.0725,5.2899,2.086,0.2974,SS,,
3360.5,1,30.7268,0.4394,2.11,0.2735,SS,,
3361,1,31.1567,0.4239,2.088,0.2648,SS,,
3361.5,1,29.0395,0.3461,2.086,0.2669,SS,,
3362,1,30.8576,0.295,2.095,0.2678,SS,,
3362.5,1,30.4439,0.277,2.09,0.2707,SS,,
3363,1,31.4006,0.28,2.087,0.2682,SS,,
3363.5,1,31.9115,0.282,2.102,0.2654,SS,,
3364,1,28.8024,0.287,2.128,0.2772,SS,,
3364.5,1,31.5112,0.292,2.158,0.2726,SS,,
3365,1,32.786,0.289,2.129,0.2835,SS,,
3365.5,1,28.2989,0.299,2.093,0.2807,SS,,
3366,1,30.8024,0.293,2.101,0.2663,SS,,
3366.5,1,33.2325,0.302,2.133,0.259,SS,,
3367,1,32.2818,0.302,2.1731,0.2349,SS,,
3367.5,1,32.2936,0.308,2.262,0.1961,SS,,
3368,1,34.3606,0.3,2.5178,0.1626,CB,,
3368.5,1,29.5016,0.315,2.4941,0.0976,CB,,
3369,1,28.151,0.361,2.3501,0.1358,CB,,
3369.5,1,29.2106,0.4009,2.301,0.1812,CB,,
3370,1,30.629,0.495,2.3061,0.1798,SS,,
3370.5,1,30.1439,1.3044,2.292,0.1909,SS,,
3371,1,35.3102,2.0849,2.367,0.1794,SS,,
3371.5,1,46.9283,0.7642,2.4921,0.336,SH,,
3372,1,18.3981,0.818,2.5559,0.1718,SS,,
3372.5,1,18.9297,0.9159,2.55,0.1387,CB,,
3373,1,14.3386,1.136,2.4981,0.1537,CB,,
3373.5,1,11.8345,0.9587,2.4172,0.1601,CB,,
3374,1,12.7385,2.0261,2.407,0.1748,CB,,
3374.5,1,14.4438,2.3992,2.454,0.1779,SS,,
3375,1,12.68,2.2879,2.4829,0.1619,CB,,
3375.5,1,17.9254,1.8802,2.6006,0.1436,CB,,
3376,1,10.805,1.633,2.6338,0.0716,CB,,
3376.5,1,6.3305,1.6399,2.6241,0.057,CB,,
3377,1,6.3118,1.9556,2.5281,0.07,CB,,
3377.5,1,5.384,2.3797,2.542,0.0787,CB,,
3378,1,7.4663,6.1425,2.559,0.0856,CB,,
3378.5,1,12.3822,7.6001,2.3891,0.1391,CB,,
3379,1,11.0166,5.9288,2.6158,0.172,SS,,
3379.5,1,7.1694,9.948,2.637,0.1369,CB,,
3380,1,9.3448,5.5414,2.472,0.1295,CB,,
3380.5,1,12.7206,1.8232,2.472,0.1674,CB,,
3381,1,9.2185,1.714,2.427,0.1781,CB,,
3381.5,1,11.4025,3.6815,2.423,0.1708,CB,,
3382,1,11.5697,3.1553,2.417,0.1533,CB,,
3382.5,1,11.8836,1.6236,2.402,0.1815,CB,,
3383,1,9.9071,1.622,2.385,0.1751,CB,,
3383.5,1,10.9737,1.6009,2.3491,0.1782,SS,,
3384,1,8.9724,1.5724,2.392,0.1771,SS,,
3384.5,1,13.1741,1.568,2.4789,0.1527,CB,,
3385,1,8.5215,1.4031,2.4222,0.1132,CB,,
3385.5,1,13.3609,1.2121,2.432,0.1635,CB,,
3386,1,12.2888,1.3009,2.4059,0.1934,CB,,
3386.5,1,11.1982,3.4172,2.386,0.1914,SS,,
3387,1,11.6644,1.5027,2.373,0.2068,SS,,
3387.5,1,9.6622,1.4849,2.339,0.1921,SS,,
3388,1,11.4938,1.4909,2.3301,0.1841,SS,,
3388.5,1,9.6849,1.365,2.35,0.18,SS,,
3389,1,12.0003,1.3257,2.3909,0.2285,SS,,
3389.5,1,10.6505,1.1572,2.3731,0.2034,SS,,
3390,1,14.1516,1.0141,2.4001,0.1824,SS,,
3390.5,1,15.0194,1.6199,2.457,0.1838,SS,,
3391,1,14.4199,1.7531,2.383,0.1778,CB,,
3391.5,1,13.0632,1.4184,2.339,0.1866,SS,,
3392,1,14.7245,1.1483,2.3701,0.1989,SS,,
3392.5,1,14.7703,1.3297,2.431,0.1865,SS,,
3393,1,15.807,1.7842,2.44,0.1787,SS,,
3393.5,1,15.6107,1.7861,2.4311,0.1816,SS,,
3394,1,16.778,1.6413,2.4569,0.1876,SS,,
3394.5,1,17.7234,1.6447,2.4878,0.1877,SS,,
3395,1,21.3034,1.529,2.5439,0.1707,SS,,
3395.5,1,17.5371,2.2711,2.4151,0.1782,SS,,
3396,1,19.5195,1.6201,2.4461,0.1702,SS,,
3396.5,1,16.6597,1.7647,2.4489,0.1733,SS,,
3397,1,17.5844,1.7142,2.5041,0.1753,SS,,
3397.5,1,19.6298,1.9466,2.5029,0.1638,SS,,
3398,1,11.4497,2.125,2.479,0.1627,CB,,
3398.5,1,13.9778,2.2359,2.451,0.1468,CB,,
3399,1,12.1507,2.8689,2.455,0.1545,CB,,
3399.5,1,10.8161,2.4271,2.4341,0.1215,CB,,
3400,1,6.034,2.2182,2.646,0.0671,CB,,
3400.5,1,10.4173,2.391,2.3713,0.1239,CB,,
3401,1,8.764,2.6738,2.308,0.1884,SS,,
3401.5,1,11.8576,6.641,2.3492,0.1747,SS,,
3402,1,10.3012,1.4391,2.5697,0.0906,CB,,
3402.5,1,7.7223,1.1349,2.5191,0.1201,CB,,
3403,1,8.1118,1.8113,2.465,0.1324,CB,,
3403.5,1,6.1342,2.5831,2.5529,0.112,CB,,
3404,1,5.0524,2.5197,2.5949,0.0761,CB,,
3404.5,1,7.3552,2.5042,2.644,0.0424,CB,,
3405,1,15.5632,2.4641,2.627,0.0557,CB,,
3405.5,1,8.0694,5.3663,2.635,0.0745,CB,,
3406,1,5.7779,4.9832,2.657,0.0463,CB,,
3406.5,1,10.0499,8.0388,2.645,0.045,CB,,
3407,1,4.8079,6.7627,2.629,0.0467,CB,,
3407.5,1,6.3802,10.0409,2.606,0.0441,CB,,
3408,1,6.0313,9.5853,2.574,0.0648,CB,,
3408.5,1,5.5171,10.5861,2.6109,0.0722,CB,,
3409,1,7.4776,8.1825,2.635,0.0591,CB,,
3409.5,1,6.3141,7.489,2.5601,0.0682,CB,,
3410,1,5.2014,8.2409,2.5579,0.0801,CB,,
3410.5,1,5.4713,7.0897,2.54,0.0753,CB,,
